22:19:14.445010 config: drop-rate=0.00, max-delay=0s, seed=1510197554445010100
22:19:14.445511 router is listening at :3000
22:19:23.878263 [queue=0] packet #1, 127.0.0.1:58267 -> 127.0.0.1:8007, sz=11 is delivered
22:19:23.879267 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58267, sz=11 is delivered
22:48:56.499771 [queue=0] packet #1, 127.0.0.1:51466 -> 127.0.0.1:8007, sz=18 is delivered
22:49:11.387423 [queue=0] packet #1, 127.0.0.1:57007 -> 127.0.0.1:8007, sz=18 is delivered
22:57:30.489452 [queue=0] packet #1, 127.0.0.1:59214 -> 127.0.0.1:8007, sz=18 is delivered
22:58:09.964151 [queue=0] packet #1, 127.0.0.1:59224 -> 127.0.0.1:8007, sz=18 is delivered
22:58:37.681205 [queue=0] packet #1, 127.0.0.1:56689 -> 127.0.0.1:8007, sz=18 is delivered
22:58:45.523946 [queue=0] packet #1, 127.0.0.1:59567 -> 127.0.0.1:8007, sz=18 is delivered
23:03:04.961107 [queue=0] packet #1, 127.0.0.1:50829 -> 127.0.0.1:8007, sz=18 is delivered
23:07:56.755279 [queue=0] packet #1, 127.0.0.1:50365 -> 127.0.0.1:8007, sz=18 is delivered
23:08:13.168127 [queue=0] packet #1, 127.0.0.1:50371 -> 127.0.0.1:8007, sz=18 is delivered
23:11:49.861172 [queue=0] packet #1, 127.0.0.1:57522 -> 127.0.0.1:8007, sz=18 is delivered
23:11:49.861673 [queue=0] packet #1414811695, 127.0.0.1:8007 -> 49.46.49.32:12848, sz=159 is delivered
23:13:12.460720 [queue=0] packet #1, 127.0.0.1:54985 -> 127.0.0.1:8007, sz=18 is delivered
23:16:43.023724 [queue=0] packet #1, 127.0.0.1:57074 -> 127.0.0.1:8007, sz=18 is delivered
23:16:43.024227 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57074, sz=170 is delivered
23:18:26.117374 [queue=0] packet #1, 127.0.0.1:53912 -> 127.0.0.1:8007, sz=18 is delivered
23:20:28.232828 [queue=0] packet #1, 127.0.0.1:64071 -> 127.0.0.1:8007, sz=18 is delivered
23:20:28.233799 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=170 is delivered
23:20:28.234299 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=170 is delivered
23:20:28.234801 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.234801 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.235315 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.235315 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.235803 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.235803 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.236304 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.236304 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.236304 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.237307 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.237307 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.237809 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.237809 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.238309 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.238309 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.238812 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.238812 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.239313 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.239313 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.239813 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.239813 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.240315 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.240315 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.240817 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.240817 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.241318 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.241318 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.241318 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.243825 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.244326 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.244827 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.244827 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.245830 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.246331 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.246834 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.247334 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.247836 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.248336 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.248839 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.249846 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.250843 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.251345 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.252356 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.253851 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.253851 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.256357 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.256859 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.256859 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.257361 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.258364 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.258864 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.259366 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.259366 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.259366 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.259867 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.260870 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.261873 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.262875 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.263376 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.263376 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
